DATE_senti,AvgPos,AvgNeg
16-10-2018,0.644033663,-0.69895122
17-10-2018,0.692104938,-0.51695102
18-10-2018,0.702756198,-0.547891892
19-10-2018,0.733496591,-0.626220896
20-10-2018,0.765715385,-0.612723333
21-10-2018,0.594030864,-0.507297297
22-10-2018,0.633753125,-0.527468493
23-10-2018,0.617052683,-0.486237879
24-10-2018,0.643063229,-0.590112903
25-10-2018,0.720126906,-0.660541216
26-10-2018,0.713902471,-0.550476531
27-10-2018,0.728075155,-0.533046154
28-10-2018,0.7442,-0.502
29-10-2018,0.668682258,-0.529871429
30-10-2018,0.662585526,-0.561983582
31-10-2018,0.69679976,-0.509233333
01-11-2018,0.715931474,-0.481472973
02-11-2018,0.674197382,-0.501656637
03-11-2018,0.655878322,-0.391788571
04-11-2018,0.632877632,-0.463277273
05-11-2018,0.575795973,-0.552167742
06-11-2018,0.653108333,-0.542323457
07-11-2018,0.678871171,-0.550054167
08-11-2018,0.717216667,-0.584395
09-11-2018,0.592270259,-0.390320455
